agent_id,agent_name,Assassin 1.1,Assassin 1.2,Assassin 1.3,Assassin 1.4,Assassin 1.5,Assassin 1.6,Assassin Slot 2.1,Assassin Slot 2.2,Assassin Slot 2.3,Assassin Slot 2.4,Assassin Slot 2.5,Assassin Slot 2.6,Berserker 1.1,Berserker 1.2,Berserker 1.3,Berserker 1.4,Berserker 1.5,Berserker 1.6,Berserker Slot 2.1,Berserker Slot 2.2,Berserker Slot 2.3,Berserker Slot 2.4,Berserker Slot 2.5,Berserker Slot 2.6,Biosculptor 1.1,Biosculptor 1.2,Biosculptor 1.3,Biosculptor 1.4,Biosculptor 1.5,Biosculptor 1.6,Biosculptor Slot 2.1,Biosculptor Slot 2.2,Biosculptor Slot 2.3,Biosculptor Slot 2.4,Biosculptor Slot 2.5,Biosculptor Slot 2.6,Engineer 1.1,Engineer 1.2,Engineer 1.3,Engineer 1.4,Engineer 1.5,Engineer 1.6,Engineer Slot 2.1,Engineer Slot 2.2,Engineer Slot 2.3,Engineer Slot 2.4,Engineer Slot 2.5,Engineer Slot 2.6,Explorer 1.1,Explorer 1.2,Explorer 1.3,Explorer 1.4,Explorer 1.5,Explorer 1.6,Explorer Slot 2.1,Explorer Slot 2.2,Explorer Slot 2.3,Explorer Slot 2.4,Explorer Slot 2.5,Explorer Slot 2.6,Sniper 1.1,Sniper 1.2,Sniper 1.3,Sniper 1.4,Sniper 1.5,Sniper 1.6,Sniper Slot 2.1,Sniper Slot 2.2,Sniper Slot 2.3,Sniper Slot 2.4,Sniper Slot 2.5,Sniper Slot 2.6,Paladin 1.1,Paladin 1.2,Paladin 1.3,Paladin 1.4,Paladin 1.5,Paladin 1.6,Paladin Slot 2.1,Paladin Slot 2.2,Paladin Slot 2.3,Paladin Slot 2.4,Paladin Slot 2.5,Paladin Slot 2.6,Sentinel 1.1,Sentinel 1.2,Sentinel 1.3,Sentinel 1.4,Sentinel 1.5,Sentinel 1.6,Sentinel Slot 2.1,Sentinel Slot 2.2,Sentinel Slot 2.3,Sentinel Slot 2.4,Sentinel Slot 2.5,Sentinel Slot 2.6,Trapmaster 1.1,Trapmaster 1.2,Trapmaster 1.3,Trapmaster 1.4,Trapmaster 1.5,Trapmaster 1.6,Trapmaster Slot 2.1,Trapmaster Slot 2.2,Trapmaster Slot 2.3,Trapmaster Slot 2.4,Trapmaster Slot 2.5,Trapmaster Slot 2.6
948,Vigorous Scourge Bouchard,,,,,,,,,,,,,Frenzy,Battle Roar,Enhanced Strength,Drums of War,Micro Explosives,Kabooooom!,Chaos Diver,Anarchy,Titan's Force,Madhouse,Thrill of Battle,Primal Scream,Extract Essence,Flux,Breath III,Harvesting Augment,Health Augment,Breath IV,Picomedics,Bioreloader,Metamorphosis,Harvesting Sensors,Reactive Healing,Rapid Regeneration,Muse,Immovable,Forbidden Knowledge,Deep Insights,Overclock,Blast Armor,Sightsee,Scent of Weakness,Shardstorm Accelerant,Aegis,Quick Thinker,Senior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
856,Willalme the Seigneur,Shadow of Darkness,Blur,Sidestep,Shadow of the Moon,Bedlam,Shadow of the Imp,Chaos Surfer,Blood Sport,Shadow of the Bat,Leg Day,Lethal Focus,Pandemonium,,,,,,,,,,,,,,,,,,,,,,,,,Immovable,Sightsee,Scent of Weakness,Deep Insights,Overclock,Forbidden Knowledge,Mainframe,Muse,Shardstorm Accelerant,Aegis,Quick Thinker,Senior,,,,,,,,,,,,,,,,,,,,,,,,,Powered Weapon,Exercise Regimen,Titan Blood,Breath II,Nanomedics,Room to Grow,Order Armor,Whirlwind,Healthy Habits,Battle School Faculty,Steel Tornado,Breath IV,,,,,,,,,,,,,,,,,,,,,,,,
2218,Delphion Halion from Colonia Celestralda,Chaos Surfer,Shadow of the Moon,Bedlam,Meditation,Lethal Focus,Shadow of the Imp,Shadow of Darkness,Leg Day,Sidestep,Night Edge,Shadow of the Bat,Pandemonium,,,,,,,,,,,,,Bioreloader,Extract Essence,Mitosis,Breath I,Extra Phalanges,Breath III,Picomedics,Flux,Fortified Muscles,Harvesting Augment,Health Augment,Rapid Regeneration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beef,Fortify,Combat Training,Royal Guard,Resolute,Beefup,Immovable,Armored Backpack,Planned Retreat,Aegis,Guardian,Turtle Up,,,,,,,,,,,,
1721,"Karrvaldr Damroka, Xenolinguist",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Exposed Weaknesses,Hyper Propulsion,Speed Loader,Fast Feet,Barbed Ammo,Skedaddle,Fragmenting Ammo,Repositioning,Concealment,Boots of the Dervish,High Velocity Shells,Ascertain Weakness,,,,,,,,,,,,,Beef,Honor Guard,Resolute,Guardian,Turtle Up,Warden,Order Armor,Beefup,Bulwark,Aegis,Reinforcing Plates,Praetorian,Shadow of Darkness,Quick Thinker,Sophomore,Fog Trap,Brain Drain,Elemental Extraction,Vanishing Act,Decoy,Fade Into The Night,Blurring Movement,Revelation,Junior
1818,Boundless Noble,Chaos Diver,Vanishing Act,Shadow of Darkness,Sidestep,Shadow of the Moon,Lethal Focus,Blood Sport,Twilight Blade,Meditation,Shadow of the Bat,Bedlam,Pandemonium,,,,,,,,,,,,,,,,,,,,,,,,,Sightsee,Scent of Weakness,Shardstorm Accelerant,Deep Insights,Brain Drain,Reinforcing Plates,Muse,Forbidden Knowledge,Aegis,Blast Armor,Fleeting Genius,Revelation,,,,,,,,,,,,,Hyper Ammo,Eagle Eye,Charged Ammo,High Velocity Shells,Barbed Ammo,Repositioning,Hyper Propulsion,Hypersonic Payload,Concealment,Speed Loader,Boots of the Dervish,Skedaddle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1602,Grokker of the Third Order of Secret Research,,,,,,,,,,,,,Anarchy,Battle Roar,Micro Explosives,Kabooooom!,War Cry,"Gym, Tan, Laundry",Enhanced Strength,Drums of War,Seethe,Madhouse,Brute,Heavy Hands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fortify,Armored Backpack,Planned Retreat,Guardian,Reinforcing Plates,Praetorian,Beef,Combat Training,Resolute,Beefup,Warden,Turtle Up,Cloaking Drone,Vanishing Act,Freshman,Sophomore,Fog Trap,Revelation,Shadow of Darkness,Sidestep,Scouting Drones,Quick Thinker,Blurring Movement,Now You See Me...
367,Olaf the Ancestor,Shadow of Darkness,Blur,Meditation,Shadow of the Moon,Bedlam,Shadow of the Imp,Chaos Surfer,Twilight Blade,Shadow of the Bat,Leg Day,Midnight Whisper,Pandemonium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Charged Ammo,Hyper Propulsion,Hypersonic Payload,Speed Loader,Repositioning,Boots of the Dervish,Fragmenting Ammo,Hyper Ammo,Barbed Ammo,Concealment,High Velocity Shells,Skedaddle,Powered Weapon,Second Wind,Light's Embrace,Arm of Justice,Light's Avatar,Steel Tornado,Breath I,Whirlwind,Titan Blood,Hunter,Room to Grow,Breath IV,,,,,,,,,,,,,,,,,,,,,,,,
847,"Orphéval-Vaubois, Natural Pathfinder",Blur,Shadow of Darkness,Twilight Blade,Shadow of the Moon,Bedlam,Shadow of the Imp,Chaos Surfer,Vanishing Act,Meditation,Lethal Focus,Night Edge,Pandemonium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Haste,Moment,Sharder Mk II,Shard Research,Opportunity Window,Cheat Code,Flux,Dimension Shift,Fast Feet,Nimble,Time Warp,Accelerate,,,,,,,,,,,,,Breath I,The Guilty Flee,Valor's Reward,Battle School Faculty,Arm of Justice,Breath IV,Flex,Refreshing Jog,Whirlwind,Nanomedics,Breath II,Hunter,,,,,,,,,,,,,,,,,,,,,,,,
1365,Perceval from Nouvelvelours,Shadow of Darkness,Blur,Meditation,Shadow of the Moon,Bedlam,Shadow of the Imp,Chaos Surfer,Vanishing Act,Shadow of the Bat,Lethal Focus,Night Edge,Pandemonium,,,,,,,,,,,,,,,,,,,,,,,,,Immovable,Sightsee,Aegis,Overclock,Shardstorm Accelerant,Senior,Mainframe,Quick Thinker,Forbidden Knowledge,Deep Insights,Brain Drain,Blast Armor,,,,,,,,,,,,,,,,,,,,,,,,,The Guilty Flee,Powered Weapon,Whirlwind,Breath II,Nanomedics,Room to Grow,Order Armor,Second Wind,Vow of Revenge,Battle School Faculty,Titan Blood,Steel Tornado,,,,,,,,,,,,,,,,,,,,,,,,
1912,Darethiel Thalithis from Faelowood,Blood Sport,Chaos Surfer,Shadow of Darkness,Shadow of the Bat,Sidestep,Midnight Whisper,Vanishing Act,Twilight Blade,Meditation,Shadow of the Moon,Lethal Focus,Pandemonium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sharder Mk I,Shard Research,Fast Feet,Home Field Advantage,Speedrun,Matrix Building,Haste,Dimension Shift,Nimble,Opportunity Window,"Creighton, AI Advisor",Shard Frenzy,,,,,,,,,,,,,,,,,,,,,,,,,Immovable,Order Armor,Guardian,Resolute,Beefup,Warden,Honor Guard,Armored Backpack,Aegis,Planned Retreat,Turtle Up,Praetorian,,,,,,,,,,,,
1571,Chieftain Ysathiel Emberwreath,Chaos Surfer,Blur,Shadow of the Bat,Night Edge,Bedlam,Pandemonium,Shadow of Darkness,Sidestep,Shadow of the Moon,Leg Day,Shadow of the Imp,Midnight Whisper,,,,,,,,,,,,,,,,,,,,,,,,,Sightsee,Immovable,Muse,Deep Insights,Forbidden Knowledge,Senior,Scent of Weakness,Mainframe,Quick Thinker,Aegis,Brain Drain,Blast Armor,,,,,,,,,,,,,,,,,,,,,,,,,Flex,Exercise Regimen,Healthy Habits,Battle School Faculty,Titan Blood,Hunter,Whirlwind,Arm of Justice,Breath II,Light's Embrace,Room to Grow,Breath IV,,,,,,,,,,,,,,,,,,,,,,,,
1510,Walkelin Hochefort from the Steep Fjell,,,,,,,,,,,,,Battle Roar,Enhanced Strength,Kabooooom!,Drums of War,Seethe,"Gym, Tan, Laundry",Anarchy,Chaos Diver,Titan's Force,War Cry,Thrill of Battle,Brute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Guilty Flee,Battle School Faculty,Vow of Revenge,Valor's Reward,Room to Grow,Breath IV,Breath II,Titan Blood,Arm of Justice,Steel Tornado,Hunter,Indomitable,,,,,,,,,,,,,Blur,Elemental Velocity,Quick Thinker,Fade Into The Night,Junior,Elemental Extraction,Shadow of Darkness,Freshman,Fog Trap,Sidestep,Revelation,Brain Drain
3155,Publius Cendrelle,Twilight Blade,Vanishing Act,Blur,Meditation,Shadow of the Moon,Pandemonium,Shadow of Darkness,Chaos Surfer,Shadow of the Bat,Bedlam,Leg Day,Shadow of the Imp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hyper Ammo,Fragmenting Ammo,Barbed Ammo,Repositioning,Speed Loader,Resourceful,Hyper Propulsion,Charged Ammo,High Velocity Shells,Boots of the Dervish,Sharpshooter,Skedaddle,Picomedics,Battle School Faculty,Valor's Reward,Whirlwind,Steel Tornado,Hunter,Order Armor,Light's Embrace,Breath II,Arm of Justice,Room to Grow,Breath IV,,,,,,,,,,,,,,,,,,,,,,,,
1567,Orlynn the Great Weaver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sharder Mk I,Moment,Sharder Mk II,Shard Research,Time Dilation,Shard Frenzy,Haste,Dimension Shift,Pulsar,Nimble,Marathoner,Accelerate,,,,,,,,,,,,,,,,,,,,,,,,,Beef,Honor Guard,Guardian,Aegis,Planned Retreat,Turtle Up,Immovable,Fortify,Resolute,Royal Guard,Warden,Praetorian,Elemental Velocity,Cloaking Drone,Sophomore,Scouting Drones,Fog Trap,Revelation,Shadow of Darkness,Sidestep,Fade Into The Night,Freshman,Brain Drain,Junior
3481,Zephyrelle Aeralith the Crypton,,,,,,,,,,,,,,,,,,,,,,,,,Breath I,Bioreloader,Harvesting Sensors,Breath III,Harvesting Augment,Rapid Regeneration,Mitosis,Nanomedics,Consume,Extra Phalanges,Accelerate,Breath IV,,,,,,,,,,,,,,,,,,,,,,,,,Charged Ammo,Fragmenting Ammo,High Velocity Shells,Sharpshooter,Speed Loader,Skedaddle,Hyper Propulsion,Boots of the Dervish,Repositioning,Fast Feet,Resourceful,Deadshot,,,,,,,,,,,,,,,,,,,,,,,,,Elemental Velocity,Freshman,Scouting Drones,Sophomore,Blurring Movement,Revelation,Shadow of Darkness,Fog Trap,Quick Thinker,Sidestep,Brain Drain,Elemental Extraction
1678,Unseen Chief Maurel Ithrial,Blood Sport,Shadow of Darkness,Shadow of the Bat,Leg Day,Night Edge,Shadow of the Imp,Chaos Diver,Bedlam,Shadow of the Moon,Meditation,Midnight Whisper,Pandemonium,,,,,,,,,,,,,,,,,,,,,,,,,Mainframe,Scent of Weakness,Quick Thinker,Shardstorm Accelerant,Senior,Revelation,Immovable,Muse,Forbidden Knowledge,Aegis,Blast Armor,Quantum Core,Haste,Fast Feet,Sharder Mk II,Shard Research,Moment,"Creighton, AI Advisor",Fast Travel,Pulsar,Nimble,Dimension Shift,Matrix Building,Accelerate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1530,Michal from Haunting Vantelroseau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sharder Mk I,Dimension Shift,Nimble,Time Warp,Matrix Building,Accelerate,Flux,Pulsar,Moment,Shard Research,Shard Frenzy,Marathoner,,,,,,,,,,,,,,,,,,,,,,,,,Fortify,Immovable,Armored Backpack,Planned Retreat,Resolute,Turtle Up,Beef,Honor Guard,Bulwark,Beefup,Aegis,Warden,Elemental Velocity,Shadow of Darkness,Sophomore,Fog Trap,Brain Drain,Revelation,Blur,Sidestep,Quick Thinker,Freshman,Junior,Now You See Me...
2298,"Gradin-Marchmain, Ruler of Resilience",,,,,,,,,,,,,,,,,,,,,,,,,Mitosis,Podiatric Nanobots,Breath I,Breath III,Harvesting Augment,Rapid Regeneration,Bioreloader,Extract Essence,Flux,Harvesting Sensors,Breath IV,Accelerate,,,,,,,,,,,,,,,,,,,,,,,,,Hyper Propulsion,Eagle Eye,High Velocity Shells,Speed Loader,Concealment,Skedaddle,Fragmenting Ammo,Exposed Weaknesses,Repositioning,Fast Feet,Barbed Ammo,Deadshot,,,,,,,,,,,,,,,,,,,,,,,,,Blur,Quick Thinker,Freshman,Fade Into The Night,Sophomore,Now You See Me...,Shadow of Darkness,Sidestep,Scouting Drones,Fog Trap,Revelation,Elemental Extraction
2004,Vaeshalor from Ashen Lunethmyrra,,,,,,,,,,,,,,,,,,,,,,,,,Fortified Muscles,Breath I,Harvesting Sensors,Health Augment,Breath III,Harvesting Augment,Bioreloader,Flux,Consume,Extra Phalanges,Nanomedics,Accelerate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beef,Combat Training,Bulwark,Beefup,Royal Guard,Reinforcing Plates,Fortify,Momentum,Aegis,Resolute,Planned Retreat,Warden,Shadow of Darkness,Elemental Velocity,Sophomore,Quick Thinker,Sidestep,Revelation,Vanishing Act,Blur,Freshman,Decoy,Elemental Extraction,Brain Drain
1627,The King from Windy Bergtorn,Vanishing Act,Blur,Blood Sport,Shadow of the Moon,Bedlam,Shadow of the Imp,Shadow of Darkness,Chaos Surfer,Night Edge,Meditation,Pandemonium,Midnight Whisper,,,,,,,,,,,,,Flux,Bioreloader,Consume,Harvesting Augment,Apotheosis,Breath IV,Harmonic Inferon,Breath III,Regenerative Plates,Harvesting Sensors,Rapid Regeneration,Accelerate,,,,,,,,,,,,,,,,,,,,,,,,,Charged Ammo,Hypersonic Payload,Hyper Propulsion,Barbed Ammo,Repositioning,Resourceful,Fragmenting Ammo,Marksman,Hyper Ammo,High Velocity Shells,Boots of the Dervish,Skedaddle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3737,"Dorianus Bonchard, Reine of Daring",Twilight Blade,Vanishing Act,Chaos Surfer,Shadow of the Bat,Lethal Focus,Shadow of the Imp,Shadow of Darkness,Blur,Sidestep,Bedlam,Leg Day,Pandemonium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Haste,Moment,Shard Research,Sharder Mk II,Improved Extraction,Shard Frenzy,Nimble,Dimension Shift,Pulsar,Opportunity Window,Cheat Code,"Creighton, AI Advisor",,,,,,,,,,,,,,,,,,,,,,,,,Fortify,Order Armor,Armored Backpack,Beefup,Warden,Praetorian,Beef,Combat Training,Planned Retreat,Resolute,Reinforcing Plates,Turtle Up,,,,,,,,,,,,
3267,Charmsparking Elthavira Vornyss,,,,,,,,,,,,,Anarchy,Chaos Surfer,Madhouse,Drums of War,Titan's Force,Brute,Enhanced Strength,Micro Explosives,Seethe,Thrill of Battle,Kabooooom!,Primal Scream,Flux,Picomedics,Harvesting Sensors,Harvesting Augment,Consume,Apotheosis,Breath I,Extract Essence,Breath III,Extra Phalanges,Rapid Regeneration,Breath IV,Mainframe,Immovable,Deep Insights,Reinforcing Plates,Senior,Quantum Core,Muse,Forbidden Knowledge,Quick Thinker,Blast Armor,Brain Drain,Revelation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2936,"Medley, Ruler of Prime",Chaos Diver,Shadow of Darkness,Twilight Blade,Meditation,Shadow of the Bat,Sidestep,Blur,Vanishing Act,Blood Sport,Bedlam,Shadow of the Moon,Pandemonium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Exposed Weaknesses,Hyper Propulsion,Speed Loader,Barbed Ammo,Repositioning,Skedaddle,Charged Ammo,Fragmenting Ammo,Leg Day,High Velocity Shells,Boots of the Dervish,Ascertain Weakness,,,,,,,,,,,,,Order Armor,Honor Guard,Fortify,Beefup,Planned Retreat,Turtle Up,Immovable,Combat Training,Guardian,Aegis,Bulwark,Praetorian,,,,,,,,,,,,
1665,"Trygvar, Ferocious Ashwalker General",,,,,,,,,,,,,Anarchy,Frenzy,Enhanced Strength,Drums of War,Kabooooom!,Primal Scream,Chaos Surfer,Battle Roar,Madhouse,Seethe,Micro Explosives,Heavy Hands,,,,,,,,,,,,,Scent of Weakness,Mainframe,Shardstorm Accelerant,Aegis,Deep Insights,Senior,Muse,Forbidden Knowledge,Quick Thinker,Overclock,Reinforcing Plates,Brain Drain,,,,,,,,,,,,,,,,,,,,,,,,,Breath I,Powered Weapon,Breath II,Light's Embrace,Gift of the Shards,Hunter,Order Armor,Refreshing Jog,Nanomedics,Arm of Justice,Breath IV,Steel Tornado,,,,,,,,,,,,,,,,,,,,,,,,
1621,Opulent Censor Caledon Quirinax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Haste,Flux,Moment,Speedrun,Dimension Shift,Matrix Building,Sharder Mk I,Shard Research,Cover Expert,Opportunity Window,Nimble,Cheat Code,,,,,,,,,,,,,Light's Touch,Breath I,Nanomedics,Titan Blood,Hunter,Light's Avatar,Powered Weapon,Arm of Justice,Breath II,Vow of Revenge,Room to Grow,Steel Tornado,,,,,,,,,,,,,Shadow of Darkness,Quick Thinker,Sophomore,Fade Into The Night,Brain Drain,Revelation,Vanishing Act,Freshman,Decoy,Fog Trap,Junior,Blurring Movement
2289,Absolute Slayer Dobron Langdon,Blur,Shadow of Darkness,Meditation,Bedlam,Sidestep,Midnight Whisper,Vanishing Act,Chaos Surfer,Night Edge,Shadow of the Moon,Pandemonium,Shadow of the Imp,,,,,,,,,,,,,,,,,,,,,,,,,Muse,Mainframe,Immovable,Deep Insights,Fleeting Genius,Revelation,Sightsee,Scent of Weakness,Forbidden Knowledge,Aegis,Blast Armor,Brain Drain,,,,,,,,,,,,,,,,,,,,,,,,,Breath I,Cleansing Fire,Light's Touch,Whirlwind,Battle School Faculty,Steel Tornado,Powered Weapon,Order Armor,Breath II,Nanomedics,Hunter,Breath IV,,,,,,,,,,,,,,,,,,,,,,,,
2998,Aedile Callinicus Galaxor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fast Travel,Haste,Pulsar,Repositioning,Fast Feet,Matrix Building,Sharder Mk I,Flux,Home Field Advantage,Shard Research,Moment,Accelerate,,,,,,,,,,,,,Breath I,Exercise Regimen,Valor's Reward,Healthy Habits,Battle School Faculty,Steel Tornado,Powered Weapon,Titan Blood,Respect the Fallen,Whirlwind,Room to Grow,Breath IV,,,,,,,,,,,,,Vanishing Act,Blur,Decoy,Quick Thinker,Sophomore,Junior,Shadow of Darkness,Fade Into The Night,Fog Trap,Freshman,Now You See Me...,Elemental Extraction
1628,Krytstan Marshal of the Dead,Twilight Blade,Blood Sport,Meditation,Sidestep,Shadow of the Moon,Shadow of the Imp,Chaos Diver,Shadow of the Bat,Lethal Focus,Bedlam,Midnight Whisper,Pandemonium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hyper Propulsion,Exposed Weaknesses,Resourceful,Repositioning,Speed Loader,Skedaddle,Charged Ammo,Concealment,High Velocity Shells,Boots of the Dervish,Fast Feet,Deadshot,Refreshing Jog,Nanomedics,Arm of Justice,Titan Blood,Breath IV,Hunter,The Guilty Flee,Battle School Faculty,Breath II,Vow of Revenge,Room to Grow,Steel Tornado,,,,,,,,,,,,,,,,,,,,,,,,
162,The Flamin Galah of Normo,Blood Sport,Chaos Surfer,Shadow of the Bat,Night Edge,Leg Day,Midnight Whisper,Shadow of Darkness,Twilight Blade,Bedlam,Shadow of the Moon,Shadow of the Imp,Pandemonium,,,,,,,,,,,,,,,,,,,,,,,,,Fortify,Quick Thinker,Overclock,Shardstorm Accelerant,Revelation,Reinforcing Plates,Scent of Weakness,Deep Insights,Forbidden Knowledge,Aegis,Brain Drain,Quantum Core,,,,,,,,,,,,,,,,,,,,,,,,,Powered Weapon,Vow of Revenge,Exercise Regimen,Respect the Fallen,Hunter,Room to Grow,Gift of the Shards,Arm of Justice,Breath II,Titan Blood,Steel Tornado,Breath IV,,,,,,,,,,,,,,,,,,,,,,,,
3707,Spacious Captain Jeanot Laurentin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hyper Propulsion,Deadeye,Leg Day,Repositioning,Resourceful,Skedaddle,Charged Ammo,Fragmenting Ammo,High Velocity Shells,Speed Loader,Fast Feet,Deadshot,Light's Touch,Picomedics,Vow of Revenge,Titan Blood,Breath II,Steel Tornado,Powered Weapon,The Guilty Flee,Arm of Justice,Whirlwind,Indomitable,Breath IV,,,,,,,,,,,,,Shadow of Darkness,Elemental Velocity,Freshman,Fade Into The Night,Elemental Extraction,Now You See Me...,Cloaking Drone,Quick Thinker,Sophomore,Decoy,Junior,Brain Drain
2751,Mighty Alpha Ciesielska,,,,,,,,,,,,,Anarchy,Durasteel Haft,Thrill of Battle,Micro Explosives,Drums of War,War Cry,Enhanced Strength,Chaos Diver,Kabooooom!,Titan's Force,Madhouse,Primal Scream,,,,,,,,,,,,,Fortify,Sightsee,Deep Insights,Aegis,Senior,Revelation,Immovable,Muse,Shardstorm Accelerant,Fleeting Genius,Quantum Core,Brain Drain,,,,,,,,,,,,,,,,,,,,,,,,,Picomedics,Powered Weapon,Breath II,Valor's Reward,Steel Tornado,Room to Grow,Order Armor,Arm of Justice,Titan Blood,Light's Embrace,Light's Avatar,Hunter,,,,,,,,,,,,,,,,,,,,,,,,
992,Vaster Skoghalla Sigurd,,,,,,,,,,,,,Anarchy,Durasteel Haft,Drums of War,Micro Explosives,Titan's Force,Heavy Hands,Enhanced Strength,Chaos Diver,War Cry,Seethe,Brute,Primal Scream,,,,,,,,,,,,,,,,,,,,,,,,,Haste,Fast Travel,Sharder Mk II,Dimension Shift,Time Dilation,Accelerate,Sharder Mk I,Improved Extraction,Nimble,Home Field Advantage,Shard Research,Cheat Code,,,,,,,,,,,,,Powered Weapon,Breath I,Refreshing Jog,Titan Blood,Battle School Faculty,Breath IV,Order Armor,Picomedics,Light's Touch,Whirlwind,Steel Tornado,Room to Grow,,,,,,,,,,,,,,,,,,,,,,,,
861,The Rival of the Seigneur,,,,,,,,,,,,,Enhanced Strength,Chaos Diver,Kabooooom!,Drums of War,Micro Explosives,Heavy Hands,Durasteel Haft,Anarchy,Titan's Force,Madhouse,Thrill of Battle,Brute,,,,,,,,,,,,,,,,,,,,,,,,,Haste,Moment,Cover Expert,Sharder Mk II,Speedrun,Accelerate,Flux,Pulsar,Time Warp,Shard Research,Repositioning,Cheat Code,,,,,,,,,,,,,,,,,,,,,,,,,Armored Backpack,Order Armor,Fortify,Honor Guard,Resolute,Turtle Up,Beef,Momentum,Immovable,Beefup,Aegis,Warden,,,,,,,,,,,,
2051,Enigmawisp Master Enyavelle Seravain,,,,,,,,,,,,,Battle Roar,Durasteel Haft,Enhanced Strength,Titan's Force,Seethe,Madhouse,Anarchy,Chaos Diver,Drums of War,Kabooooom!,Micro Explosives,Brute,,,,,,,,,,,,,,,,,,,,,,,,,Haste,Shard Research,Sharder Mk II,Time Warp,Moment,Matrix Building,Nimble,Dimension Shift,Pulsar,Speedrun,Repositioning,Accelerate,,,,,,,,,,,,,Flex,Light's Touch,Whirlwind,Battle School Faculty,Exercise Regimen,Titan Blood,Breath I,Nanomedics,Arm of Justice,Valor's Reward,Breath II,Steel Tornado,,,,,,,,,,,,,,,,,,,,,,,,
552,"Kaelithar, Alusian Grokker",Blur,Shadow of Darkness,Sidestep,Meditation,Night Edge,Shadow of the Imp,Chaos Diver,Twilight Blade,Shadow of the Bat,Bedlam,Lethal Focus,Pandemonium,,,,,,,,,,,,,Flux,Extract Essence,Breath III,Extra Phalanges,Reactive Healing,Accelerate,Bioreloader,Harvesting Augment,Nanomedics,Health Augment,Rapid Regeneration,Breath IV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Order Armor,Armored Backpack,Immovable,Royal Guard,Resolute,Turtle Up,Combat Training,Fortify,Beef,Beefup,Planned Retreat,Warden,,,,,,,,,,,,
1014,The Aged Sacred Terraformer,Blood Sport,Chaos Diver,Shadow of the Bat,Leg Day,Night Edge,Shadow of the Imp,Shadow of Darkness,Sidestep,Shadow of the Moon,Bedlam,Lethal Focus,Pandemonium,,,,,,,,,,,,,,,,,,,,,,,,,Immovable,Muse,Deep Insights,Quick Thinker,Shardstorm Accelerant,Revelation,Sightsee,Scent of Weakness,Aegis,Forbidden Knowledge,Senior,Quantum Core,,,,,,,,,,,,,Charged Ammo,Hyper Ammo,Boots of the Dervish,Repositioning,Concealment,Deadshot,Hyper Propulsion,Deadeye,Speed Loader,Sharpshooter,High Velocity Shells,Skedaddle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
